LOCATION,Country,OBS_VALUE,GDPPerCapita
AUS,Australia,7.1,64711.7656030565
AUT,Austria,7.2,56505.9682796867
BEL,Belgium,6.8,53475.2934952935
CAN,Canada,7,53371.6974319701
CZE,Czechia,6.9,30427.4234688601
DNK,Denmark,7.5,67967.3818685562
FIN,Finland,7.9,53755.9117362796
FRA,France,6.7,44460.8178457009
DEU,Germany,7.3,52745.7557064131
GRC,Greece,5.8,22990.0135680461
HUN,Hungary,6,22147.2097290479
ISL,Iceland,7.6,78811.0583922693
IRL,Ireland,7,103684.880801837
ITA,Italy,6.5,38373.1660497534
JPN,Japan,6.1,33834.3921056453
KOR,Korea,5.8,33121.3712885508
LUX,Luxembourg,7.4,128259.402583282
MEX,Mexico,6,13926.1136190914
NLD,Netherlands,7.5,62536.7320298151
NZL,New Zealand,7.3,48527.828920018
NOR,Norway,7.3,87961.7806135072
POL,Poland,6.1,22112.861574706
PRT,Portugal,5.8,27275.1115544691
SVK,Slovak Republic,6.5,24470.238537883
ESP,Spain,6.5,32676.9837109377
SWE,Sweden,7.3,56305.250200767
CHE,Switzerland,7.5,99994.9380204786
TUR,TÃ¼rkiye,4.9,12985.7531497962
GBR,United Kingdom,6.8,48866.6039600298
USA,United States,7,81695.1870713305
BRA,Brazil,6.1,10043.6239221567
CHL,Chile,6.2,17093.2419713921
EST,Estonia,6.5,29823.7496069016
ISR,Israel,7.2,52261.6761509633
LVA,Latvia,6.2,23184.3116680149
RUS,Russia,5.5,13817.0458984375
SVN,Slovenia,6.5,32163.5114152484
ZAF,South Africa,4.9,6253.16161272014
COL,Colombia,5.7,6979.72513470377
LTU,Lithuania,6.4,27102.7815282971
CRI,Costa Rica,6.3,16595.3703837185
